date,hour,energy_kWh,day_of_month,month,week,holiday,weekday,day_of_week,season,energy_kWh after normalisation
2012-06-01,1,1.011,1,5,21,0,0,4,2,0.08171677982541221
2012-06-01,2,0.451,1,5,21,0,0,4,2,0.03645328160362108
2012-06-01,3,0.505,1,5,21,0,0,4,2,0.04081797607500808
2012-06-01,4,0.441,1,5,21,0,0,4,2,0.03564500484966052
2012-06-01,5,0.468,1,5,21,0,0,4,2,0.03782735208535403
2012-06-01,6,0.451,1,5,21,0,0,4,2,0.03645328160362108
2012-06-01,7,0.464,1,5,21,0,0,4,2,0.0375040413837698
2012-06-01,8,0.897,1,5,21,0,0,4,2,0.07250242483026188
2012-06-01,9,1.066,1,5,21,0,0,4,2,0.08616230197219528
2012-06-01,10,0.946,1,5,21,0,0,4,2,0.0764629809246686
2012-06-01,11,0.465,1,5,21,0,0,4,2,0.03758486905916586
2012-06-01,12,0.792,1,5,21,0,0,4,2,0.06401551891367604
2012-06-01,13,0.468,1,5,21,0,0,4,2,0.03782735208535403
2012-06-01,14,0.674,1,5,21,0,0,4,2,0.054477853216941485
2012-06-01,15,0.503,1,5,21,0,0,4,2,0.040656320724215975
2012-06-01,16,0.556,1,5,21,0,0,4,2,0.044940187520206926
2012-06-01,17,0.925,1,5,21,0,0,4,2,0.07476559974135144
2012-06-01,18,0.713,1,5,21,0,0,4,2,0.05763013255738765
2012-06-01,19,0.597,1,5,21,0,0,4,2,0.0482541222114452
2012-06-01,20,0.559,1,5,21,0,0,4,2,0.04518267054639509
2012-06-01,21,0.752,1,5,21,0,0,4,2,0.060782411897833816
2012-06-01,22,1.584,1,5,21,0,0,4,2,0.1280310378273521
2012-06-01,23,4.188,1,5,21,0,0,4,2,0.33850630455868086
2012-06-02,0,0.613,2,5,21,0,1,5,2,0.04954736501778209
2012-06-02,1,0.442,2,5,21,0,1,5,2,0.03572583252505658
2012-06-02,2,0.496,2,5,21,0,1,5,2,0.04009052699644358
2012-06-02,3,0.484,2,5,21,0,1,5,2,0.03912059489169092
2012-06-02,4,0.447,2,5,21,0,1,5,2,0.03612997090203686
2012-06-02,5,0.46,2,5,21,0,1,5,2,0.03718073068218558
2012-06-02,6,0.5,2,5,21,0,1,5,2,0.0404138376980278
2012-06-02,7,0.696,2,5,21,0,1,5,2,0.0562560620756547
2012-06-02,8,0.627,2,5,21,0,1,5,2,0.05067895247332687
2012-06-02,9,0.961,2,5,21,0,1,5,2,0.07767539605560944
2012-06-02,10,0.982,2,5,21,0,1,5,2,0.0793727772389266
2012-06-02,11,0.84,2,5,21,0,1,5,2,0.0678952473326867
2012-06-02,12,1.159,2,5,21,0,1,5,2,0.09367927578402846
2012-06-02,13,2.213,2,5,21,0,1,5,2,0.17887164565147107
2012-06-02,14,0.457,2,5,21,0,1,5,2,0.03693824765599742
2012-06-02,15,0.479,2,5,21,0,1,5,2,0.03871645651471064
